id,titulo_original,titulo_revisado,autor,afiliação,orcid,key_file
12,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Antônio Abelém,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-4085-6674,31631-2606-25940-1-10-20241121
13,Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,André Ribeiro,Departamento de Ciência da Computação Universidade de São Paulo (USP),,30011-2546-24451-1-10-20240828
13,Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,Matheus Guedes de Andrade,Manning College of Information and Computer Sciences University of Massachusetts Amherst,https://orcid.org/0000-0002-9968-0194,30011-2546-24451-1-10-20240828
13,Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,Fabio Kon,Departamento de Ciência da Computação Universidade de São Paulo (USP),https://orcid.org/0000-0003-3888-7340,30011-2546-24451-1-10-20240828
13,Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,and Don Towsley,Manning College of Information and Computer Sciences University of Massachusetts Amherst,,30011-2546-24451-1-10-20240828
14,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,Diego Abreu,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-3969-8322,29800-157-24241-1-10-20240808
14,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,Christian R. Esteve Rothenberg,Universidade Estadual de Campinas (UNICAMP),https://orcid.org/0000-0003-3109-4305,29800-157-24241-1-10-20240808
14,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,Antônio Abelém,Universidade Federal do Pará (UFPA),https://orcid.org/0000-0003-4085-6674,29800-157-24241-1-10-20240808
15,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Zeinab Rahmani,"Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal, International Iberian Nanotechnology Laboratory (INL) – Braga – Portugal",,21496-2102-17423-1-10-20220825
15,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Luis S. Barbosa,"International Iberian Nanotechnology Laboratory (INL) – Braga – Portugal, Department of Computer Science – University of Minho – Braga – Portugal, Instituto de Engenharia de Sistemas e Computadores, Tecnologia e Ciência (INESC TEC) Porto – Portugal",,21496-2102-17423-1-10-20220825
15,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,Armando N. Pinto,"Department of Electronics, Telecommunications and Informatics – University of Aveiro Aveiro – Portugal, Instituto de Telecomunicações (IT) – Aveiro – Portugal",,21496-2102-17423-1-10-20220825
